Ticker,Sector,28-Dec-17,1-Jan-18,2-Jan-18,3-Jan-18,4-Jan-18,7-Jan-18,8-Jan-18,9-Jan-18,10-Jan-18,11-Jan-18,14-Jan-18,15-Jan-18,16-Jan-18,17-Jan-18,18-Jan-18,21-Jan-18,22-Jan-18,23-Jan-18,24-Jan-18,25-Jan-18,28-Jan-18,29-Jan-18,30-Jan-18,31-Jan-18,1-Feb-18,4-Feb-18,5-Feb-18,6-Feb-18,7-Feb-18,8-Feb-18,11-Feb-18,12-Feb-18,13-Feb-18,14-Feb-18,15-Feb-18,18-Feb-18,19-Feb-18,20-Feb-18,22-Feb-18,25-Feb-18,26-Feb-18,27-Feb-18,28-Feb-18,1-Mar-18,4-Mar-18,5-Mar-18,6-Mar-18,14-Mar-18,
1JANATAMF,Mutual Fund,1822.00,1878.00,1850.00,1878.00,1850.00,1850.00,1878.00,1850.00,1878.00,1878.00,1850.00,1850.00,1878.00,1878.00,1878.00,1878.00,1878.00,1878.00,1878.00,1850.00,1850.00,1822.00,1850.00,1821507558.03,1849968613.62,1793046502.43,1764585446.84,1821507558.03,1793046502.43,1821507558.03,1821507558.03,1793046502.43,1793046502.43,1764585446.84,1764585446.84,1764585446.84,1764585446.84,1764585446.84,1764585446.84,1764585446.84,1764585446.84,1736124391.24,1764585446.84,1736124391.24,1764585446.84,1764585446.84,1764585446.84,1764585446.84,0.00
1STBSRS,Mutual Fund,407.00,407.00,407.00,407.00,407.00,407.00,407.00,407.00,407.00,407.00,407.00,407.00,407.00,407.00,407.00,407.00,407.00,407.00,407.00,407.00,407.00,407.00,407.00,406500000.00,406500000.00,406500000.00,406500000.00,406500000.00,406500000.00,406500000.00,406500000.00,406500000.00,406500000.00,406500000.00,406500000.00,406500000.00,406500000.00,406500000.00,406500000.00,406500000.00,406500000.00,406500000.00,406500000.00,406500000.00,406500000.00,406500000.00,406500000.00,406500000.00,0.00
1STICB,Mutual Fund,1119.00,1119.00,1119.00,1119.00,1119.00,1119.00,1119.00,1119.00,1119.00,1119.00,1119.00,1119.00,1119.00,1119.00,1119.00,1119.00,1119.00,1119.00,1119.00,1119.00,1119.00,1119.00,1119.00,1119375000.00,1119375000.00,1119375000.00,1119375000.00,1119375000.00,1119375000.00,1119375000.00,1119375000.00,1119375000.00,1119375000.00,1119375000.00,1119375000.00,1119375000.00,1119375000.00,1119375000.00,1119375000.00,1119375000.00,1119375000.00,1119375000.00,1119375000.00,1119375000.00,1119375000.00,1119375000.00,1119375000.00,1119375000.00,0.00
1STPRIMFMF,Mutual Fund,302.00,304.00,304.00,308.00,314.00,316.00,310.00,310.00,308.00,308.00,304.00,304.00,306.00,304.00,306.00,300.00,302.00,300.00,298.00,296.00,294.00,294.00,292.00,286000000.00,278000000.00,264000000.00,270000000.00,282000000.00,274000000.00,272000000.00,278000000.00,276000000.00,274000000.00,286000000.00,280000000.00,278000000.00,280000000.00,278000000.00,278000000.00,258000000.00,252000000.00,250000000.00,252000000.00,256000000.00,266000000.00,260000000.00,256000000.00,256000000.00,0.00
2NDICB,Mutual Fund,149.00,149.00,149.00,149.00,149.00,149.00,149.00,149.00,149.00,149.00,149.00,149.00,149.00,149.00,149.00,149.00,149.00,149.00,149.00,149.00,149.00,149.00,149.00,149300000.00,149300000.00,149300000.00,149300000.00,149300000.00,149300000.00,149300000.00,149300000.00,149300000.00,149300000.00,149300000.00,149300000.00,149300000.00,149300000.00,149300000.00,149300000.00,149300000.00,149300000.00,149300000.00,149300000.00,149300000.00,149300000.00,149300000.00,149300000.00,149300000.00,0.00
3RDICB,Mutual Fund,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350000000.00,350000000.00,350000000.00,350000000.00,350000000.00,350000000.00,350000000.00,350000000.00,350000000.00,350000000.00,350000000.00,350000000.00,350000000.00,350000000.00,350000000.00,350000000.00,350000000.00,350000000.00,350000000.00,350000000.00,350000000.00,350000000.00,350000000.00,350000000.00,350000000.00,0.00
4THICB,Mutual Fund,228.00,228.00,228.00,228.00,228.00,228.00,228.00,228.00,228.00,228.00,228.00,228.00,228.00,228.00,228.00,228.00,228.00,228.00,228.00,228.00,228.00,228.00,228.00,228000000.00,228000000.00,228000000.00,228000000.00,228000000.00,228000000.00,228000000.00,228000000.00,228000000.00,228000000.00,228000000.00,228000000.00,228000000.00,228000000.00,228000000.00,228000000.00,228000000.00,228000000.00,228000000.00,228000000.00,228000000.00,228000000.00,228000000.00,228000000.00,228000000.00,0.00
5THICB,Mutual Fund,338.00,338.00,338.00,338.00,338.00,338.00,338.00,338.00,338.00,338.00,338.00,338.00,338.00,338.00,338.00,338.00,338.00,338.00,338.00,338.00,338.00,338.00,338.00,337650000.00,337650000.00,337650000.00,337650000.00,337650000.00,337650000.00,337650000.00,337650000.00,337650000.00,337650000.00,337650000.00,337650000.00,337650000.00,337650000.00,337650000.00,337650000.00,337650000.00,337650000.00,337650000.00,337650000.00,337650000.00,337650000.00,337650000.00,337650000.00,337650000.00,0.00
6THICB,Mutual Fund,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7THICB,Mutual Fund,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
